PRTNUM,picked_qty,pick_lines,orders,cum_qty_pct,cum_sku_pct,ABC_vol,ABC_freq
10027530,35308,120,108,2.6,0.02,A,A
P000244283-001-001,33826,32,31,5.09,0.05,A,A
9125502501,23100,36,36,6.79,0.07,A,A
10027512,18878,104,95,8.18,0.09,A,A
A000303327,16009,144,130,9.36,0.11,A,A
9125534533,15380,3,3,10.49,0.14,A,B
9126404501,14870,34,34,11.59,0.16,A,A
10027538,14359,115,108,12.64,0.18,A,A
P000243720-001-001,13365,15,15,13.63,0.21,A,A
A000307030,12830,112,104,14.57,0.23,A,A
10027539,12684,114,104,15.5,0.25,A,A
9125502533,10741,211,211,16.3,0.28,A,A
10027505,10258,131,126,17.05,0.3,A,A
9126904501,9440,39,39,17.75,0.32,A,A
P000236306-001-005,9226,31,30,18.42,0.34,A,A
9126434533,7519,3,3,18.98,0.37,A,B
9125590530,7314,36,35,19.52,0.39,A,A
3714913005,7200,3,3,20.05,0.41,A,B
A000349459,6980,34,31,20.56,0.44,A,A
A000349472,6957,71,67,21.07,0.46,A,A
A000424591,6860,13,13,21.58,0.48,A,A
P000236306-001-006,6600,5,5,22.06,0.51,A,B
A000349465,6335,48,44,22.53,0.53,A,A
A000455435,5989,129,127,22.97,0.55,A,A
A000439936,5942,17,15,23.41,0.57,A,A
9125602500,5780,33,33,23.83,0.6,A,A
A000141082,5625,32,32,24.25,0.62,A,A
9125590550,5570,30,30,24.66,0.64,A,A
P000238100-001-001,5405,23,22,25.06,0.67,A,A
A000307022,5344,77,74,25.45,0.69,A,A
P001424375-001-001,5290,50,50,25.84,0.71,A,A
10027525,5197,51,45,26.22,0.73,A,A
A000349471,4935,31,30,26.58,0.76,A,A
9125502502,4790,10,10,26.94,0.78,A,A
9064990181,4710,33,33,27.28,0.8,A,A
9126404533,4372,148,148,27.61,0.83,A,A
A000180490,4350,15,15,27.93,0.85,A,A
9126690530,4233,42,42,28.24,0.87,A,A
9063590190,4040,38,38,28.53,0.9,A,A
9184604010,4025,1,1,28.83,0.92,A,C
9306000000,4025,1,1,29.13,0.94,A,C
9125583506,4000,2,2,29.42,0.96,A,B
9125583507,4000,2,2,29.72,0.99,A,B
9135590050,4000,36,36,30.01,1.01,A,A
A000431340,3990,7,7,30.3,1.03,A,B
9960207001,3856,46,46,30.59,1.06,A,A
A000367124,3810,17,15,30.87,1.08,A,A
9126994531,3638,155,155,31.14,1.1,A,A
A000071181,3633,27,27,31.4,1.13,A,A
A000349458,3488,20,19,31.66,1.15,A,A
10027523,3478,38,34,31.92,1.17,A,A
P000243788-001-001,3475,17,16,32.17,1.19,A,A
A000349476,3461,31,30,32.43,1.22,A,A
10034529,3447,125,119,32.68,1.24,A,A
A000391915,3410,14,13,32.93,1.26,A,A
A000493807,3377,273,263,33.18,1.29,A,A
9136690071,3330,49,48,33.43,1.31,A,A
9064990182,3280,22,22,33.67,1.33,A,A
9126404502,3280,9,9,33.91,1.36,A,A
P000236305-001-004,3265,23,23,34.15,1.38,A,A
P001342554-012-001,3240,81,81,34.39,1.4,A,A
P000238210-001-001,3240,24,24,34.63,1.42,A,A
10021438,3165,128,124,34.86,1.45,A,A
10027540,3084,29,27,35.09,1.47,A,A
9126604501,3080,26,26,35.31,1.49,A,A
9127917506,3050,10,10,35.54,1.52,A,A
9125536506,3050,4,4,35.76,1.54,A,B
9200112000,3030,42,42,35.99,1.56,A,A
A000349480,3012,29,27,36.21,1.58,A,A
9125536507,3000,3,3,36.43,1.61,A,B
P001417022-020-001,3000,3,3,36.65,1.63,A,B
P001417022-010-001,3000,3,3,36.87,1.65,A,B
9127990171,2960,24,24,37.09,1.68,A,A
P001112073-002-050,2950,10,8,37.3,1.7,A,A
A000349511,2932,23,23,37.52,1.72,A,A
9126494531,2925,122,122,37.74,1.75,A,A
A000391910,2921,10,9,37.95,1.77,A,A
P000244280-001-001,2900,15,15,38.16,1.79,A,A
A000349384,2818,21,21,38.37,1.81,A,A
A000431342,2800,7,7,38.58,1.84,A,A
9126904533,2795,89,89,38.78,1.86,A,A
9126904502,2790,13,13,38.99,1.88,A,A
9282809030,2788,136,136,39.19,1.91,A,A
9125690510,2770,18,18,39.4,1.93,A,A
A000349469,2757,22,22,39.6,1.95,A,A
A000463441,2754,23,20,39.8,1.98,A,A
9125502536,2750,5,5,40.01,2.0,A,B
A000391921,2736,13,12,40.21,2.02,A,A
A000431338,2716,7,7,40.41,2.04,A,A
A000401594,2713,176,169,40.61,2.07,A,A
9136690072,2710,39,38,40.81,2.09,A,A
A000307014,2709,67,66,41.01,2.11,A,A
P000047582-350-200,2707,112,112,41.21,2.14,A,A
P000238189-001-001,2701,9,9,41.4,2.16,A,A
9125590510,2700,22,22,41.6,2.18,A,A
A000303802,2659,43,39,41.8,2.2,A,A
9126690511,2631,110,110,41.99,2.23,A,A
9126690275,2630,41,41,42.19,2.25,A,A
A000423055,2607,14,12,42.38,2.27,A,A
P000243756-001-001,2600,10,10,42.57,2.3,A,A
A000455432,2590,59,54,42.76,2.32,A,A
9400090171,2590,54,54,42.95,2.34,A,A
P001094301-361-125,2575,19,18,43.14,2.37,A,A
A000349512,2558,23,23,43.33,2.39,A,A
A000493806,2551,254,243,43.52,2.41,A,A
3670000338,2516,7,7,43.7,2.43,A,A
A000367127,2510,13,13,43.89,2.46,A,A
P000243768-001-001,2505,27,27,44.07,2.48,A,A
P001112073-001-050,2500,9,8,44.26,2.5,A,A
9400090172,2480,48,48,44.44,2.53,A,A
A000349468,2479,27,27,44.62,2.55,A,A
A000349478,2479,30,30,44.8,2.57,A,A
9125590520,2450,21,21,44.98,2.6,A,A
A000303330,2444,54,49,45.16,2.62,A,A
P001501268-260-001,2440,13,13,45.34,2.64,A,A
3592828090,2400,2,2,45.52,2.66,A,B
9011109260,2379,17,17,45.69,2.69,A,A
A000307028,2377,40,36,45.87,2.71,A,A
9011109290,2355,94,94,46.04,2.73,A,A
9125517501,2310,22,22,46.21,2.76,A,A
P000243454-001-001,2298,18,18,46.38,2.78,A,A
A000421505,2284,10,10,46.55,2.8,A,A
A000349491,2270,42,40,46.72,2.82,A,A
10036211,2257,67,59,46.88,2.85,A,A
A000127134,2250,5,5,47.05,2.87,A,B
P000238212-001-001,2243,24,23,47.21,2.89,A,A
A000431341,2210,6,6,47.38,2.92,A,B
9410927506,2200,6,6,47.54,2.94,A,B
9411927507,2195,21,21,47.7,2.96,A,A
P000244285-001-001,2190,12,12,47.86,2.99,A,A
9125590511,2180,114,114,48.02,3.01,A,A
A000349484,2171,28,25,48.18,3.03,A,A
A000391463,2143,15,10,48.34,3.05,A,A
P000244289-001-001,2110,5,5,48.5,3.08,A,B
9125538533,2100,1,1,48.65,3.1,A,C
9400090176,2090,41,41,48.8,3.12,A,A
P000238152-001-001,2080,26,25,48.96,3.15,A,A
A000455436,2077,141,135,49.11,3.17,A,A
A000498166,2072,80,79,49.26,3.19,A,A
A000318038,2040,21,21,49.41,3.22,A,A
3591008300,2020,5,5,49.56,3.24,A,B
A000391906,2014,9,9,49.71,3.26,A,A
9126436507,2000,2,2,49.86,3.28,A,B
9126436506,2000,2,2,50.0,3.31,A,B
A000143324,2000,1,1,50.15,3.33,A,C
3624913020,2000,2,2,50.3,3.35,A,B
