PART,avg_qty,min_qty,max_qty,avg_loads,max_loads,avg_locs,max_locs,qty_cv
10000251,127.333,113,141,1.333,2,1.333,2,0.11
10000253,26.5,19,34,1.0,1,1.0,1,0.4
10000258,38.0,30,46,1.0,1,1.0,1,0.298
10000259,15.0,13,16,1.0,1,1.0,1,0.115
10000266,102.333,89,129,1.0,1,1.0,1,0.226
10000290,4.667,1,7,1.0,1,1.0,1,0.689
10000296,6.0,6,6,1.0,1,1.0,1,0.0
10000340,40.0,40,40,1.0,1,1.0,1,0.0
10000342,9.333,7,14,1.0,1,1.0,1,0.433
10000344,8.0,8,8,1.0,1,1.0,1,0.0
10000381,18.0,18,18,1.0,1,1.0,1,0.0
10000408,3.667,1,5,1.0,1,1.0,1,0.63
10000411,1.0,1,1,1.0,1,1.0,1,
10000476,291.333,244,332,1.333,2,1.333,2,0.152
10000903,7.0,7,7,1.0,1,1.0,1,0.0
10000905,27.0,27,27,1.0,1,1.0,1,0.0
10000959,1.0,1,1,1.0,1,1.0,1,0.0
10000991,1.0,1,1,1.0,1,1.0,1,0.0
10000993,2.0,2,2,1.0,1,1.0,1,
10001016,1.5,1,2,1.0,1,1.0,1,0.471
10001039,4.0,4,4,1.0,1,1.0,1,0.0
10001087,1.0,1,1,1.0,1,1.0,1,0.0
10001093,1.0,1,1,1.0,1,1.0,1,0.0
10001099,22.0,22,22,1.0,1,1.0,1,0.0
10001119,8.0,8,8,1.0,1,1.0,1,
10001128,2.0,2,2,1.0,1,1.0,1,
10001129,13.0,2,31,1.0,1,1.0,1,1.209
10001139,16.333,13,18,1.0,1,1.0,1,0.177
10001185,1.0,1,1,1.0,1,1.0,1,0.0
10001197,1.0,1,1,1.0,1,1.0,1,0.0
10001207,1.0,1,1,1.0,1,1.0,1,
10001240,18.0,12,27,1.0,1,1.0,1,0.441
10001278,21.667,15,28,1.0,1,1.0,1,0.3
10001336,99.0,99,99,1.0,1,1.0,1,0.0
10001379,22.667,16,26,1.0,1,1.0,1,0.255
10001414,151.667,145,156,1.0,1,1.0,1,0.039
10001578,8.333,7,10,1.0,1,1.0,1,0.183
10001579,24.667,20,27,1.0,1,1.0,1,0.164
10001581,2.667,1,6,1.0,1,1.0,1,1.083
10001584,14.0,12,17,1.0,1,1.0,1,0.189
10001585,7.667,2,13,1.0,1,1.0,1,0.718
