,PRTNUM,picks_q2,picks_peakday
0,A000493031,275,3.0
1,A000493807,273,3.0
2,A000493806,254,4.0
3,A000408925,235,6.0
4,9125502533,211,7.0
5,A000401594,176,1.0
6,10013881,160,2.0
7,10013726,156,2.0
8,9126994531,155,3.0
9,9126404533,148,4.0
10,A000303327,144,4.0
11,A000455436,141,4.0
12,A000460919,137,7.0
13,9282809030,136,2.0
14,10027505,131,2.0
15,A000455435,129,5.0
16,10021438,128,4.0
17,10034529,125,2.0
18,A000460921,124,4.0
19,9126494531,122,4.0
20,10013725,122,3.0
21,10027530,120,5.0
22,A000497983,118,2.0
23,10013732,118,4.0
24,10027538,115,2.0
25,10027539,114,2.0
26,9000134050,114,1.0
27,9125590511,114,3.0
28,A000307030,112,5.0
29,P000047582-350-200,112,2.0
