SKU,family,abc,picks,units,loads
A000493031,203.0,C,275,"1,947",10
A000493807,203.0,C,273,"3,377",25
A000493806,203.0,C,254,"2,551",25
A000408925,203.0,A,235,"1,871",23
9125502533,203.0,A,211,"10,741",13
A000401594,203.0,A,176,"2,713",10
10013881,102.0,A,160,955,3
10013726,207.0,A,156,"1,202",9
9126994531,207.0,A,155,"3,638",9
9126404533,203.0,A,148,"4,372",7
A000303327,203.0,A,144,"16,009",35
A000455436,203.0,C,141,"2,077",116
A000460919,203.0,C,137,746,15
9282809030,207.0,B,136,"2,788",4
10027505,203.0,A,131,"10,258",28
A000455435,203.0,C,129,"5,989",146
10021438,203.0,A,128,"3,165",101
10034529,203.0,A,125,"3,447",38
A000460921,203.0,C,124,"1,372",14
9126494531,207.0,A,122,"2,925",9
