PART,EA LEN,EA WID,EA HGT,EA WGT,EA_CUBE_M3,CS QTY,CS_CUBE_M3,CS WGT,PA QTY,PA WGT,PA LEN,PA HGT,PART FAMILY,PART ABCCOD,ASSET TYPE,HAZMAT,cases_per_pallet,units_per_pallet
10000251,35.5,4.0,3.0,0.38,0.0004,,,,100.0,405.0,120.0,110.0,207.0,B,K3,0,,100.0
10000253,55.0,8.5,3.0,0.58,0.0014,10.0,0.0285,5.8,240.0,139.2,120.0,86.0,207.0,C,EURO,0,24.0,240.0
10000258,35.5,8.5,3.0,0.56,0.0009,,,,837.0,493.72,120.0,110.0,207.0,B,K3,0,,837.0
10000259,55.0,8.0,3.0,0.7,0.0013,,,,520.0,364.0,120.0,78.0,207.0,C,EURO,0,,520.0
10000266,1.5,3.0,3.0,0.01,0.0,,,,1000.0,35.0,120.0,110.0,102.0,C,K3,0,,1000.0
10000290,11.0,12.0,3.0,0.11,0.0004,,,,6000.0,685.0,120.0,110.0,205.0,C,K3,0,,6000.0
10000296,5.5,7.7,2.3,0.01,0.0001,,,,1000.0,35.0,120.0,110.0,207.0,C,K1,0,,1000.0
10000340,4.7,4.2,2.0,0.06,0.0,,,,10000.0,625.0,120.0,110.0,205.0,C,K3,0,,10000.0
10000342,4.5,5.0,15.5,0.12,0.0003,,,,1000.0,145.0,120.0,110.0,207.0,C,K3,0,,1000.0
10000344,15.0,5.0,4.0,0.12,0.0003,,,,20.0,999.0,120.0,100.0,207.0,B,K3,0,,20.0
10000381,3.0,5.0,20.5,0.42,0.0003,,,,1000.0,445.0,120.0,110.0,207.0,C,K3,0,,1000.0
10000408,7.5,7.5,7.5,0.24,0.0004,,,,9999.0,999.0,120.0,100.0,207.0,C,K3,0,,9999.0
10000476,3.5,9.5,2.5,0.126,0.0001,,,,1000.0,151.0,120.0,11.0,207.0,A,K3,0,,1000.0
10000903,5.5,3.0,0.05,0.02,0.0,,,,1092.0,2209.0,120.0,110.0,205.0,C,K3,0,,1092.0
10000905,5.4,3.1,0.3,0.02,0.0,,,,3000.0,85.0,120.0,110.0,205.0,C,K1,0,,3000.0
10000959,16.5,5.5,2.8,0.37,0.0003,,,,1945.0,719.65,120.0,56.0,205.0,C,K3,0,,1945.0
10000991,28.0,5.0,3.0,0.67,0.0004,,,,650.0,460.5,120.0,110.0,102.0,C,K3,0,,650.0
10000993,28.4,5.2,3.0,0.67,0.0004,,,,1080.0,723.6,120.0,81.0,205.0,C,K3,0,,1080.0
10001039,20.3,4.6,2.5,0.63,0.0002,,,,500.0,340.0,120.0,110.0,207.0,C,K1,0,,500.0
10001087,9.5,3.3,2.3,0.21,0.0001,,,,1000.0,235.0,120.0,110.0,102.0,C,K3,0,,1000.0
10001093,9.5,3.0,3.0,0.21,0.0001,,,,3428.0,719.88,120.0,33.0,102.0,C,K3,0,,3428.0
10001099,25.5,3.5,3.0,0.32,0.0003,,,,2200.0,729.0,120.0,110.0,207.0,C,K3,0,,2200.0
10001119,25.0,3.0,2.0,0.34,0.0001,,,,3762.0,664.0,120.0,110.0,205.0,C,K3,0,,3762.0
10001128,16.5,3.5,3.0,0.3,0.0002,,,,3388.0,1041.0,120.0,110.0,205.0,C,K3,0,,3388.0
10001129,16.5,3.5,2.0,0.3,0.0001,,,,1000.0,325.0,120.0,110.0,207.0,C,K3,0,,1000.0
10001139,4.5,1.5,0.2,0.01,0.0,,,,1000.0,35.0,120.0,110.0,207.0,C,K3,0,,1000.0
10001185,13.5,4.0,2.5,0.5,0.0001,,,,160.0,1241.0,120.0,95.0,102.0,C,K3,0,,160.0
10001197,25.5,3.5,3.0,0.35,0.0003,,,,20.0,999.0,120.0,100.0,205.0,C,K3,0,,20.0
10001240,3.5,25.5,3.0,0.32,0.0003,,,,1000.0,345.0,120.0,110.0,207.0,B,K3,0,,1000.0
10001278,2.5,3.5,16.5,0.29,0.0001,,,,1000.0,315.0,120.0,110.0,207.0,B,K3,0,,1000.0
10001336,2.0,2.0,2.0,0.1,0.0,,,,4750.0,500.0,120.0,110.0,207.0,C,K3,0,,4750.0
10001379,7.0,4.0,2.0,0.11,0.0001,,,,7990.0,903.0,120.0,110.0,207.0,C,K3,0,,7990.0
