DATE,lines,units,orders,shipments,weekday
2025-04-01,603,19477,130,127,Tuesday
2025-04-02,571,27276,118,114,Wednesday
2025-04-03,231,7860,69,65,Thursday
2025-04-04,866,33880,167,156,Friday
2025-04-07,583,10607,144,140,Monday
2025-04-08,602,27862,155,141,Tuesday
2025-04-09,549,21698,142,137,Wednesday
2025-04-10,482,20688,147,127,Thursday
2025-04-11,558,26314,125,117,Friday
2025-04-14,555,16591,117,109,Monday
2025-04-15,606,25936,183,172,Tuesday
2025-04-16,802,36563,165,158,Wednesday
2025-04-17,696,28293,152,149,Thursday
2025-04-18,610,22887,164,155,Friday
2025-04-22,617,20274,162,154,Tuesday
2025-04-23,583,17281,116,104,Wednesday
2025-04-24,645,17694,155,142,Thursday
2025-04-25,464,16626,133,127,Friday
2025-04-28,629,14909,214,189,Monday
2025-04-29,751,21289,250,229,Tuesday
2025-04-30,865,26845,163,156,Wednesday
2025-05-01,331,10184,72,70,Thursday
2025-05-02,670,28873,75,68,Friday
2025-05-06,762,12876,222,206,Tuesday
2025-05-07,438,15830,105,102,Wednesday
2025-05-08,608,11773,118,115,Thursday
2025-05-09,592,30846,96,92,Friday
2025-05-12,533,12417,137,127,Monday
2025-05-13,692,19558,138,137,Tuesday
2025-05-14,417,23409,112,96,Wednesday
2025-05-15,533,23759,169,156,Thursday
2025-05-16,725,30862,109,103,Friday
2025-05-19,579,12503,163,144,Monday
2025-05-20,499,18757,125,116,Tuesday
2025-05-21,895,22101,165,135,Wednesday
2025-05-22,586,24401,145,132,Thursday
2025-05-23,638,24813,111,105,Friday
2025-05-26,636,30871,183,171,Monday
2025-05-27,1171,63469,212,177,Tuesday
2025-05-28,906,55752,150,144,Wednesday
2025-05-30,850,19886,130,119,Friday
2025-06-02,713,23696,137,132,Monday
2025-06-03,575,13933,142,128,Tuesday
2025-06-04,312,7734,76,74,Wednesday
2025-06-05,911,44923,166,159,Thursday
2025-06-06,736,31669,96,93,Friday
2025-06-10,847,19017,180,175,Tuesday
2025-06-11,593,9172,137,126,Wednesday
2025-06-12,564,17504,141,121,Thursday
2025-06-13,715,34905,145,142,Friday
2025-06-16,777,10860,158,142,Monday
2025-06-17,607,15211,153,145,Tuesday
2025-06-18,539,18835,173,166,Wednesday
2025-06-19,717,19872,138,129,Thursday
2025-06-20,582,21326,118,107,Friday
2025-06-23,940,23975,145,131,Monday
2025-06-24,616,19524,158,149,Tuesday
2025-06-25,491,13618,116,113,Wednesday
2025-06-26,524,10496,137,132,Thursday
2025-06-27,616,21161,136,128,Friday
2025-06-30,765,27162,221,200,Monday
